Provinsi;daerah;Dalam_1;Dalam_2;Parah_1;Parah_2;penduduk_miskin_1;penduduk_miskin_2;pengeluaran_makanan_perkapita;pengeluaran_nonmakanan_perkapita;melek_huruf;remaja_bekerja;hunian_layak;Lapangan_kerja_informal_nonpertanian;korban_kriminal;remaja_IT;rumah_milik;rumah_sewa;puas_kesehatan;puas_pendidikan;puas_keharmonisan_keluarga;puas_ketersediaan_waktu_luang;puas_hubungan sosial;puas_kondisi_lingkungan;puas_keamanan;puas_pekerjaan;puas_pendapatan;puas_rumah_aset;pengangguran_1;pengangguran_2;sd;smp;sma
ACEH;kota;1.55;1.61;0.35;0.38;173.90;184.89;559300;434134;99.59;1.18;57.41;41.31;0.05;46.77;80.32;6.69;68.56;59.28;79.00;71.80;74.65;73.23;77.23;64.75;61.98;64.37;5.40;6.59;98.33;90.92;70.07
SUMATERA UTARA;kota;1.48;1.54;0.38;0.39;695.75;756.24;576323;487641;99.66;4.01;64.65;42.24;0.03;51.78;68.35;14.02;69.12;57.76;77.48;71.33;73.00;73.63;76.11;63.20;61.98;65.76;4.71;6.91;96.48;91.63;70.39
SUMATERA BARAT;kota;0.74;0.80;0.16;0.24;128.12;141.31;609258;555621;99.79;2.46;51.42;48.34;0.06;52.85;70.75;11.93;67.65;57.04;78.87;69.42;73.10;74.48;77.03;64.21;61.43;63.92;5.25;6.88;93.26;87.12;67.11
RIAU;kota;0.97;1.02;0.23;0.27;175.16;178.46;621748;611498;99.92;2.21;62.94;40.81;0.03;55.37;70.55;15.40;70.48;57.01;80.93;73.16;74.93;72.33;75.06;65.78;63.36;66.75;4.92;6.32;95.18;86.84;66.62
JAMBI;kota;1.71;1.77;0.43;0.46;123.64;132.60;560542;508445;99.73;2.06;54.78;40.90;0.06;50.83;82.26;6.53;71.74;60.60;81.86;74.07;76.79;76.08;79.45;69.23;66.40;68.53;4.26;5.13;95.34;86.31;63.66
SUMATERA SELATAN;kota;2.02;2.38;0.47;0.72;387.80;404.43;498929;459890;99.59;2.27;52.24;44.61;0.11;46.50;81.52;6.09;69.96;58.88;80.89;72.39;74.05;72.76;73.79;64.89;61.79;64.45;3.90;5.51;95.93;85.02;65.42
BENGKULU;kota;2.44;2.49;0.58;0.59;98.55;99.40;542423;553927;99.69;1.99;41.73;47.25;0.09;48.70;82.72;7.74;67.74;56.36;80.64;71.17;75.31;75.15;78.01;63.20;58.18;60.43;3.08;4.07;95.16;87.68;62.73
LAMPUNG;kota;1.22;1.30;0.24;0.29;237.10;259.28;484800;444224;99.17;2.20;52.00;53.00;0.09;48.37;88.60;4.20;70.05;56.07;80.25;72.33;74.76;77.14;74.78;65.25;62.54;63.95;4.26;4.67;97.69;86.66;57.59
KEP. BANGKA BELITUNG;kota;0.44;0.64;0.11;0.16;25.53;28.38;751641;758333;99.16;2.41;26.16;36.37;0.03;54.93;85.51;5.92;68.88;57.07;77.94;71.83;72.98;76.32;78.22;65.14;63.01;67.69;3.35;5.25;96.05;81.91;56.74
KEP. RIAU;kota;1.02;1.16;0.27;0.41;108.86;121.82;789057;989093;99.59;0.98;44.09;25.33;0.03;77.18;66.62;24.03;75.28;62.51;83.87;74.47;76.50;75.34;79.36;72.37;68.75;72.81;5.98;10.34;95.25;94.80;78.65
DKI JAKARTA;kota;0.59;0.67;0.11;0.15;480.86;496.84;877449;1278664;99.94;1.17;34.25;31.31;0.11;85.17;47.12;36.36;70.83;62.72;77.77;71.64;72.31;70.59;72.92;68.92;65.56;69.66;5.15;10.95;97.80;94.57;85.67
JAWA BARAT;kota;1.02;1.18;0.20;0.26;2725.91;3004.95;629741;637136;99.85;1.85;49.29;44.24;0.06;65.37;77.89;11.11;68.66;57.68;78.31;71.32;73.42;74.24;75.12;64.79;62.04;64.15;7.71;10.46;97.76;88.17;63.56
JAWA TENGAH;kota;1.53;1.61;0.31;0.39;1805.65;1890.49;469421;486982;97.82;2.17;64.69;47.41;0.04;58.75;89.04;2.91;69.83;57.69;77.65;70.88;74.38;75.01;77.40;65.07;62.16;63.74;4.20;6.48;97.20;89.00;55.82
DI YOGYAKARTA;kota;1.86;1.98;0.43;0.47;326.13;353.21;546445;793281;98.83;2.08;81.61;41.26;0.09;75.04;73.29;17.53;72.59;62.63;81.03;72.01;77.02;76.30;78.35;68.38;65.18;68.59;3.38;4.57;96.43;92.36;87.99
JAWA TIMUR;kota;1.23;1.37;0.28;0.37;1682.14;1820.13;502892;533285;96.72;1.64;65.61;47.29;0.07;57.23;87.58;6.02;70.61;58.89;78.05;72.03;74.18;76.86;77.85;66.28;64.10;65.87;3.60;5.84;96.81;89.98;63.53
BANTEN;kota;0.84;0.98;0.19;0.30;472.84;540.15;702322;724060;98.83;1.31;56.92;36.68;0.04;66.96;80.36;12.35;69.40;58.28;78.70;70.86;72.97;74.37;74.73;65.01;63.00;65.04;7.99;10.64;96.03;86.70;64.24
BALI;kota;0.47;0.55;0.09;0.11;100.38;125.48;609181;777972;98.11;3.02;77.24;39.39;0.02;65.48;72.88;21.03;70.14;59.49;79.71;68.42;74.02;76.37;79.97;69.29;64.09;66.04;1.25;5.63;96.66;93.21;74.88
NUSA TENGGARA BARAT;kota;2.54;2.85;0.54;0.71;368.43;389.60;539864;489587;92.54;4.08;56.35;59.96;0.08;47.85;87.15;3.10;69.72;54.83;80.94;73.37;77.38;78.06;78.10;65.94;62.08;62.23;3.04;4.22;97.29;89.91;64.66
NUSA TENGGARA TIMUR;kota;1.19;1.28;0.24;0.28;113.39;118.88;429498;321195;95.76;3.42;32.08;49.02;0.07;36.33;86.88;6.00;64.44;56.05;78.31;70.41;75.18;74.37;77.17;64.51;58.22;57.27;2.64;4.28;86.92;78.81;50.65
KALIMANTAN BARAT;kota;0.75;0.81;0.17;0.21;84.36;89.11;561142;519227;96.19;2.55;53.52;39.25;0.03;47.04;88.52;3.19;68.40;55.61;79.62;71.64;75.44;72.39;78.84;65.36;63.07;64.98;4.47;5.81;91.79;80.88;55.23
KALIMANTAN TENGAH;kota;0.82;0.91;0.20;0.24;51.28;54.34;650759;636442;99.92;3.06;47.90;40.25;0.05;54.54;75.58;8.47;70.92;60.69;82.36;73.36;76.42;75.63;79.85;67.96;65.54;66.17;3.33;4.58;95.45;84.83;60.77
KALIMANTAN SELATAN;kota;0.66;0.76;0.17;0.19;73.09;78.84;628902;621460;99.68;2.31;46.73;45.26;0.03;57.82;76.33;10.98;71.88;60.69;80.98;73.25;75.41;74.29;77.79;67.67;66.16;67.31;3.67;4.74;94.10;82.48;63.05
KALIMANTAN TIMUR;kota;0.66;0.68;0.16;0.17;113.27;128.11;724423;893217;99.76;1.43;65.55;34.66;0.06;69.44;69.13;16.97;72.14;62.32;81.04;73.93;75.09;73.37;77.87;70.11;68.20;71.69;6.72;6.87;95.84;92.40;71.63
KALIMANTAN UTARA;kota;0.59;0.60;0.12;0.13;23.35;25.16;717752;738195;98.19;2.66;60.76;33.53;0.02;65.36;72.06;15.94;;;;;;;;;;;5.71;4.97;96.38;87.14;67.77
SULAWESI UTARA;kota;0.78;0.90;0.15;0.20;68.80;71.66;568055;582728;99.88;2.45;64.61;43.87;0.06;57.48;77.27;6.43;70.74;63.33;80.28;72.51;76.07;76.11;76.93;70.71;66.20;68.12;5.34;7.37;95.58;86.69;73.79
SULAWESI TENGAH;kota;1.68;1.83;0.43;0.43;80.73;87.43;505608;478032;99.47;4.04;56.65;44.35;0.08;44.13;84.31;6.25;67.91;58.44;81.57;72.70;77.59;73.86;77.35;66.38;61.41;62.68;2.93;3.77;95.05;82.79;57.68
SULAWESI SELATAN;kota;0.69;0.81;0.16;0.18;173.80;195.08;487934;534484;95.78;4.90;60.93;42.35;0.03;54.85;83.69;5.20;70.51;56.28;81.75;74.93;76.05;77.31;79.82;68.30;64.21;65.45;5.70;6.31;96.13;85.08;66.22
SULAWESI TENGGARA;kota;1.35;1.66;0.34;0.61;76.93;73.22;475215;546075;97.46;5.26;59.82;46.38;0.04;53.36;85.28;5.95;68.26;54.43;81.34;73.27;77.13;75.79;79.21;67.04;63.42;61.25;3.10;4.58;95.28;89.18;68.28
GORONTALO;kota;0.39;0.43;0.06;0.09;20.35;21.55;452958;549906;99.33;4.57;62.26;45.38;0.04;50.62;80.64;4.65;65.75;60.38;82.37;73.15;78.11;71.83;77.82;69.16;62.89;63.20;3.29;4.28;91.90;80.10;55.35
SULAWESI BARAT;kota;1.93;2.00;0.53;0.60;31.67;28.13;445427;395586;96.02;3.46;47.23;52.94;0;40.95;86.80;2.16;67.84;52.75;80.30;72.36;76.78;75.16;79.32;66.41;60.94;57.70;2.39;3.32;94.70;83.08;56.6
MALUKU;kota;0.82;0.94;0.15;0.21;49.89;49.87;507218;495021;99.56;3.04;51.75;44.98;0.08;44.02;79.48;6.50;73.67;65.30;82.97;73.46;78.13;79.21;81.75;73.42;68.35;69.56;6.71;7.57;97.47;88.04;70.55
MALUKU UTARA;kota;0.38;0.65;0.06;0.11;16.58;18.00;514251;511839;99.79;3.51;59.03;39.25;0.1;38.11;82.73;7.36;70.95;62.18;80.42;75.38;76.59;74.86;76.35;69.97;68.20;67.44;4.09;5.15;95.59;87.41;66.52
PAPUA BARAT;kota;0.99;1.15;0.23;0.35;24.09;26.75;667673;700837;98.47;2.30;52.22;35.56;0.29;52.37;71.27;14.50;72.26;61.39;80.24;72.24;75.92;75.65;76.85;69.96;66.90;65.65;6.78;6.80;89.25;83.47;61.49
PAPUA;kota;0.62;0.82;0.14;0.17;43.63;44.73;665292;549427;78.1;3.17;26.19;37.24;0.12;26.45;82.12;8.85;67.06;50.91;71.48;67.37;68.91;69.75;69.48;61.66;60.48;56.01;3.42;4.28;78.40;65.75;30.92
INDONESIA;kota;1.13;1.26;0.25;0.31;11161.96;12038.50;572551;592690;98.22;2.35;56.51;43.84;0.06;58.22;80.07;9.64;69.72;58.28;78.89;71.74;74.29;74.86;76.63;67.08;63.09;65.01;4.94;7.07;96.00;87.89;63.95
ACEH;desa;3.28;3.46;0.88;1.06;641.01;649.02;559300;434134;99.59;1.18;57.41;41.31;0.05;46.77;80.32;6.69;68.56;59.28;79.00;71.80;74.65;73.23;77.23;64.75;61.98;64.37;5.40;6.59;98.33;90.92;70.07
SUMATERA UTARA;desa;1.55;1.67;0.40;0.53;587.54;600.48;576323;487641;99.66;4.01;64.65;42.24;0.03;51.78;68.35;14.02;69.12;57.76;77.48;71.33;73.00;73.63;76.11;63.20;61.98;65.76;4.71;6.91;96.48;91.63;70.39
SUMATERA BARAT;desa;1.07;1.17;0.23;0.28;216.11;223.47;609258;555621;99.79;2.46;51.42;48.34;0.06;52.85;70.75;11.93;67.65;57.04;78.87;69.42;73.10;74.48;77.03;64.21;61.43;63.92;5.25;6.88;93.26;87.12;67.11
RIAU;desa;1.25;1.53;0.32;0.54;308.23;312.76;621748;611498;99.92;2.21;62.94;40.81;0.03;55.37;70.55;15.40;70.48;57.01;80.93;73.16;74.93;72.33;75.06;65.78;63.36;66.75;4.92;6.32;95.18;86.84;66.62
JAMBI;desa;0.80;0.89;0.17;0.18;154.16;155.50;560542;508445;99.73;2.06;54.78;40.90;0.06;50.83;82.26;6.53;71.74;60.60;81.86;74.07;76.79;76.08;79.45;69.23;66.40;68.53;4.26;5.13;95.34;86.31;63.66
SUMATERA SELATAN;desa;2.12;2.19;0.49;0.57;693.78;715.22;498929;459890;99.59;2.27;52.24;44.61;0.11;46.50;81.52;6.09;69.96;58.88;80.89;72.39;74.05;72.76;73.79;64.89;61.79;64.45;3.90;5.51;95.93;85.02;65.42
BENGKULU;desa;2.38;2.52;0.56;0.67;204.03;206.60;542423;553927;99.69;1.99;41.73;47.25;0.09;48.70;82.72;7.74;67.74;56.36;80.64;71.17;75.31;75.15;78.01;63.20;58.18;60.43;3.08;4.07;95.16;87.68;62.73
LAMPUNG;desa;2.20;2.48;0.49;0.70;812.22;831.86;484800;444224;99.17;2.20;52.00;53.00;0.09;48.37;88.60;4.20;70.05;56.07;80.25;72.33;74.76;77.14;74.78;65.25;62.54;63.95;4.26;4.67;97.69;86.66;57.59
KEP. BANGKA BELITUNG;desa;0.79;0.94;0.15;0.18;42.87;43.67;751641;758333;99.16;2.41;26.16;36.37;0.03;54.93;85.51;5.92;68.88;57.07;77.94;71.83;72.98;76.32;78.22;65.14;63.01;67.69;3.35;5.25;96.05;81.91;56.74
KEP. RIAU;desa;1.84;1.89;0.43;0.51;23.11;20.79;789057;989093;99.59;0.98;44.09;25.33;0.03;77.18;66.62;24.03;75.28;62.51;83.87;74.47;76.50;75.34;79.36;72.37;68.75;72.81;5.98;10.34;95.25;94.80;78.65
DKI JAKARTA;desa;;;;;;;877449;1278664;99.94;1.17;34.25;31.31;0.11;85.17;47.12;36.36;70.83;62.72;77.77;71.64;72.31;70.59;72.92;68.92;65.56;69.66;5.15;10.95;97.80;94.57;85.67
JAWA BARAT;desa;1.49;1.63;0.30;0.40;1194.33;1183.57;629741;637136;99.85;1.85;49.29;44.24;0.06;65.37;77.89;11.11;68.66;57.68;78.31;71.32;73.42;74.24;75.12;64.79;62.04;64.15;7.71;10.46;97.76;88.17;63.56
JAWA TENGAH;desa;1.92;2.07;0.38;0.48;2175.25;2229.44;469421;486982;97.82;2.17;64.69;47.41;0.04;58.75;89.04;2.91;69.83;57.69;77.65;70.88;74.38;75.01;77.40;65.07;62.16;63.74;4.20;6.48;97.20;89.00;55.82
DI YOGYAKARTA;desa;2.16;2.37;0.53;0.57;149.59;149.93;546445;793281;98.83;2.08;81.61;41.26;0.09;75.04;73.29;17.53;72.59;62.63;81.03;72.01;77.02;76.30;78.35;68.38;65.18;68.59;3.38;4.57;96.43;92.36;87.99
JAWA TIMUR;desa;2.50;2.69;0.60;0.72;2736.97;2765.84;502892;533285;96.72;1.64;65.61;47.29;0.07;57.23;87.58;6.02;70.61;58.89;78.05;72.03;74.18;76.86;77.85;66.28;64.10;65.87;3.60;5.84;96.81;89.98;63.53
BANTEN;desa;1.38;1.54;0.32;0.46;303.14;317.49;702322;724060;98.83;1.31;56.92;36.68;0.04;66.96;80.36;12.35;69.40;58.28;78.70;70.86;72.97;74.37;74.73;65.01;63.00;65.04;7.99;10.64;96.03;86.70;64.24
BALI;desa;0.65;0.75;0.12;0.14;64.82;71.44;609181;777972;98.11;3.02;77.24;39.39;0.02;65.48;72.88;21.03;70.14;59.49;79.71;68.42;74.02;76.37;79.97;69.29;64.09;66.04;1.25;5.63;96.66;93.21;74.88
NUSA TENGGARA BARAT;desa;2.61;2.64;0.68;0.75;345.45;356.44;539864;489587;92.54;4.08;56.35;59.96;0.08;47.85;87.15;3.10;69.72;54.83;80.94;73.37;77.38;78.06;78.10;65.94;62.08;62.23;3.04;4.22;97.29;89.91;64.66
NUSA TENGGARA TIMUR;desa;4.90;5.09;1.31;1.55;1040.37;1054.65;429498;321195;95.76;3.42;32.08;49.02;0.07;36.33;86.88;6.00;64.44;56.05;78.31;70.41;75.18;74.37;77.17;64.51;58.22;57.27;2.64;4.28;86.92;78.81;50.65
KALIMANTAN BARAT;desa;1.14;1.31;0.26;0.37;282.41;281.61;561142;519227;96.19;2.55;53.52;39.25;0.03;47.04;88.52;3.19;68.40;55.61;79.62;71.64;75.44;72.39;78.84;65.36;63.07;64.98;4.47;5.81;91.79;80.88;55.23
KALIMANTAN TENGAH;desa;0.79;0.86;0.20;0.21;81.66;87.45;650759;636442;99.92;3.06;47.90;40.25;0.05;54.54;75.58;8.47;70.92;60.69;82.36;73.36;76.42;75.63;79.85;67.96;65.54;66.17;3.33;4.58;95.45;84.83;60.77
KALIMANTAN SELATAN;desa;0.74;0.78;0.15;0.17;114.78;128.08;628902;621460;99.68;2.31;46.73;45.26;0.03;57.82;76.33;10.98;71.88;60.69;80.98;73.25;75.41;74.29;77.79;67.67;66.16;67.31;3.67;4.74;94.10;82.48;63.05
KALIMANTAN TIMUR;desa;1.74;1.80;0.41;0.57;116.99;115.88;724423;893217;99.76;1.43;65.55;34.66;0.06;69.44;69.13;16.97;72.14;62.32;81.04;73.93;75.09;73.37;77.87;70.11;68.20;71.69;6.72;6.87;95.84;92.40;71.63
KALIMANTAN UTARA;desa;1.22;1.27;0.25;0.27;28.43;27.54;717752;738195;98.19;2.66;60.76;33.53;0.02;65.36;72.06;15.94;;;;;;;;;;;5.71;4.97;96.38;87.14;67.77
SULAWESI UTARA;desa;1.54;1.60;0.35;0.42;123.57;124.19;568055;582728;99.88;2.45;64.61;43.87;0.06;57.48;77.27;6.43;70.74;63.33;80.28;72.51;76.07;76.11;76.93;70.71;66.20;68.12;5.34;7.37;95.58;86.69;73.79
SULAWESI TENGAH;desa;2.96;3.20;0.92;1.07;318.00;316.31;505608;478032;99.47;4.04;56.65;44.35;0.08;44.13;84.31;6.25;67.91;58.44;81.57;72.70;77.59;73.86;77.35;66.38;61.41;62.68;2.93;3.77;95.05;82.79;57.68
SULAWESI SELATAN;desa;2.17;2.32;0.57;0.68;603.03;605.16;487934;534484;95.78;4.90;60.93;42.35;0.03;54.85;83.69;5.20;70.51;56.28;81.75;74.93;76.05;77.31;79.82;68.30;64.21;65.45;5.70;6.31;96.13;85.08;66.22
SULAWESI TENGGARA;desa;2.48;2.55;0.65;0.70;224.89;244.10;475215;546075;97.46;5.26;59.82;46.38;0.04;53.36;85.28;5.95;68.26;54.43;81.34;73.27;77.13;75.79;79.21;67.04;63.42;61.25;3.10;4.58;95.28;89.18;68.28
GORONTALO;desa;4.34;4.72;1.08;1.33;164.67;163.76;452958;549906;99.33;4.57;62.26;45.38;0.04;50.62;80.64;4.65;65.75;60.38;82.37;73.15;78.11;71.83;77.82;69.16;62.89;63.20;3.29;4.28;91.90;80.10;55.35
SULAWESI BARAT;desa;1.87;1.94;0.47;0.54;120.34;130.91;445427;395586;96.02;3.46;47.23;52.94;0;40.95;86.80;2.16;67.84;52.75;80.30;72.36;76.78;75.16;79.32;66.41;60.94;57.70;2.39;3.32;94.70;83.08;56.6
MALUKU;desa;5.55;5.95;1.69;1.93;268.30;272.53;507218;495021;99.56;3.04;51.75;44.98;0.08;44.02;79.48;6.50;73.67;65.30;82.97;73.46;78.13;79.21;81.75;73.42;68.35;69.56;6.71;7.57;97.47;88.04;70.55
MALUKU UTARA;desa;1.16;1.26;0.26;0.28;69.79;69.52;514251;511839;99.79;3.51;59.03;39.25;0.1;38.11;82.73;7.36;70.95;62.18;80.42;75.38;76.59;74.86;76.35;69.97;68.20;67.44;4.09;5.15;95.59;87.41;66.52
PAPUA BARAT;desa;9.29;9.74;3.40;3.95;184.49;188.47;667673;700837;98.47;2.30;52.22;35.56;0.29;52.37;71.27;14.50;72.26;61.39;80.24;72.24;75.92;75.65;76.85;69.96;66.90;65.65;6.78;6.80;89.25;83.47;61.49
PAPUA;desa;8.37;9.34;2.85;3.22;867.74;867.50;665292;549427;78.1;3.17;26.19;37.24;0.12;26.45;82.12;8.85;67.06;50.91;71.48;67.37;68.91;69.75;69.48;61.66;60.48;56.01;3.42;4.28;78.40;65.75;30.92
INDONESIA;desa;2.21;2.39;0.55;0.68;15262.06;15511.19;572551;592690;98.22;2.35;56.51;43.84;0.06;58.22;80.07;9.64;69.72;58.28;78.89;71.74;74.29;74.86;76.63;67.08;63.09;65.01;4.94;7.07;96.00;87.89;63.95
