,Age,Gender,Level of Education,University,Entrepreneurial Inclination,EI1,EI2,EI3,EI4,EI5,EE1,EE2,EE3,EE4,EE5,EM1,EM2,EM3,EM4,EM5,GSP1,GSP2,GSP3,PCS1,PCS2,PCS3,PCS4,PCS5,Fin1,Fin2,Fin3,Fin4,Fin5,FoF1,FoF2,Target
81,1.0,2.0,1,2.0,1.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,6.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,5.0,2.0,2.0,3
82,1.0,2.0,1,2.0,2.0,4.0,5.0,5.0,4.0,5.0,6.0,6.0,6.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,3.0,4.0,5
83,1.0,2.0,1,2.0,2.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,6
84,2.0,1.0,2,2.0,2.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,3.0,4.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,5.0,7.0,3
85,1.0,2.0,1,2.0,2.0,7.0,7.0,7.0,7.0,2.0,5.0,7.0,7.0,1.0,2.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,1.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,7.0,2.0,1.0,7.0,7.0,1
86,1.0,1.0,1,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4
87,1.0,1.0,1,2.0,2.0,6.0,4.0,4.0,5.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,3.0,4.0,5.0,6.0,5.0,5.0,5.0,6.0,3.0,6.0,6.0,5.0,5.0,3.0,1.0,2
88,1.0,1.0,1,3.0,2.0,6.0,5.0,7.0,6.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,6.0,6.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,3.0,1.0,2
89,1.0,2.0,2,3.0,1.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,4.0,7.0,5.0,5.0,6.0,6.0,7.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,6.0,3.0,3.0,3.0,4.0,6.0,4.0,5.0,5
90,3.0,2.0,1,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5
91,2.0,1.0,1,2.0,1.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,4.0,6.0,5.0,7.0,7.0,6.0,6.0,6.0,5.0,7.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,1.0,2.0,2
92,1.0,1.0,1,2.0,2.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,4.0,4.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,5.0,1.0,4.0,7.0,1.0,1.0,5.0,4.0,4.0,4.0,1.0,6.0,1.0,2
93,1.0,1.0,1,2.0,1.0,7.0,6.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,6.0,3.0,7.0,7.0,3.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,4.0,6.0,5.0,4.0,3
94,2.0,1.0,1,1.0,1.0,5.0,4.0,7.0,7.0,7.0,4.0,5.0,3.0,3.0,1.0,6.0,7.0,7.0,5.0,7.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,6.0,5.0,6.0,2.0,3
95,2.0,1.0,2,2.0,1.0,7.0,7.0,7.0,7.0,7.0,4.0,6.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,5.0,2.0,4.0,5.0,5.0,4.0,6.0,7.0,7.0,7.0,7.0,3.0,2.0,3
96,1.0,1.0,1,2.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4
97,1.0,1.0,1,2.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4
98,1.0,1.0,1,2.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4
99,1.0,1.0,1,2.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,7.0,7.0,3.0,7.0,7.0,5.0,7.0,4.0,3.0,7.0,7.0,7.0,5.0,4.0,4.0,4.0,4.0,7.0,7.0,4
100,1.0,1.0,1,2.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,7.0,7.0,3.0,7.0,7.0,5.0,7.0,4.0,3.0,7.0,7.0,6.0,5.0,5.0,4.0,4.0,4.0,7.0,7.0,4
101,2.0,1.0,1,2.0,1.0,7.0,7.0,7.0,7.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,4.0,5.0,6.0,4.0,6.0,6.0,7.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5
102,1.0,2.0,1,2.0,2.0,7.0,7.0,7.0,7.0,7.0,5.0,4.0,5.0,6.0,5.0,6.0,7.0,7.0,7.0,7.0,4.0,3.0,6.0,3.0,6.0,5.0,6.0,6.0,6.0,4.0,5.0,6.0,5.0,4.0,2.0,2
103,1.0,2.0,1,1.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,5.0,3.0,5.0,1.0,5.0,1.0,2.0,6.0,3.0,2.0,3.0,2.0,6.0,2.0,2.0,3.0,6.0,2.0,3.0,3.0,3.0,2.0,7.0,4.0,4
104,2.0,2.0,2,1.0,1.0,6.0,7.0,7.0,7.0,6.0,4.0,5.0,5.0,6.0,4.0,6.0,7.0,6.0,6.0,7.0,5.0,4.0,3.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,4
105,2.0,1.0,2,1.0,2.0,3.0,4.0,4.0,5.0,4.0,6.0,7.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,7.0,5.0,6.0,5.0,7.0,6.0,6.0,6.0,7.0,6.0,5.0,4.0,6.0,5.0,5.0,6.0,4
106,2.0,1.0,2,2.0,2.0,7.0,7.0,7.0,7.0,7.0,5.0,4.0,4.0,4.0,3.0,4.0,7.0,7.0,7.0,7.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,6.0,3.0,4
107,2.0,2.0,1,2.0,2.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,2.0,3.0,4.0,4.0,7.0,5.0,4.0,5.0,6.0,6.0,5.0,5.0,6
108,1.0,1.0,1,2.0,1.0,5.0,7.0,7.0,7.0,6.0,6.0,4.0,6.0,6.0,4.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,5.0,6.0,6.0,5.0,6.0,7.0,5.0,4.0,6.0,5.0,4.0,1.0,4.0,2
109,1.0,2.0,1,1.0,2.0,6.0,2.0,4.0,5.0,4.0,6.0,5.0,5.0,6.0,7.0,2.0,2.0,1.0,5.0,2.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,5.0,2.0,1.0,2.0,6.0,3.0,4
110,3.0,1.0,2,1.0,1.0,6.0,6.0,7.0,7.0,6.0,4.0,4.0,3.0,4.0,4.0,5.0,7.0,7.0,6.0,7.0,6.0,5.0,5.0,5.0,6.0,7.0,5.0,5.0,5.0,5.0,4.0,6.0,4.0,6.0,6.0,5
111,1.0,1.0,1,3.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,5.0,6.0,6.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5
112,2.0,2.0,2,1.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,6.0,6.0,6.0,7.0,2.0,2.0,1.0,2.0,2.0,6.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,5
113,3.0,2.0,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,6.0,4.0,1.0,1
114,2.0,2.0,2,2.0,1.0,5.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,3.0,3.0,2
115,1.0,2.0,1,2.0,2.0,4.0,5.0,6.0,4.0,5.0,6.0,7.0,4.0,6.0,3.0,6.0,5.0,3.0,7.0,7.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5
116,1.0,2.0,1,2.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,6.0,5.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,6.0,4.0,4
117,2.0,2.0,2,3.0,2.0,4.0,1.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,5
118,2.0,2.0,2,3.0,2.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,3.0,1.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,6.0,6.0,4
119,2.0,1.0,2,2.0,2.0,7.0,2.0,7.0,7.0,6.0,7.0,6.0,3.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,4.0,6.0,7.0,7.0,7.0,5.0,7.0,7.0,6.0,6.0,4.0,7.0,7.0,7.0,7.0,7
120,2.0,2.0,2,3.0,2.0,6.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,3.0,4.0,6.0,5.0,4.0,4.0,5.0,7.0,5.0,3
121,2.0,2.0,2,2.0,1.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,7.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,7.0,6.0,6.0,5.0,6.0,5.0,7.0,7.0,7
122,1.0,1.0,1,3.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1
123,2.0,1.0,2,1.0,2.0,6.0,7.0,5.0,6.0,6.0,5.0,6.0,3.0,5.0,3.0,5.0,4.0,6.0,6.0,6.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,4
124,3.0,1.0,2,3.0,2.0,4.0,3.0,3.0,3.0,2.0,5.0,7.0,6.0,6.0,5.0,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,1.0,1
125,1.0,2.0,2,3.0,2.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,5.0,4.0,7.0,5.0,6.0,5.0,4.0,7.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,7.0,5.0,5.0,5.0,2.0,3.0,2
126,2.0,1.0,2,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,3
127,2.0,1.0,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,2.0,3.0,2.0,1.0,1
128,1.0,2.0,2,2.0,2.0,7.0,4.0,5.0,7.0,7.0,7.0,6.0,3.0,2.0,3.0,4.0,5.0,5.0,7.0,5.0,2.0,4.0,4.0,6.0,6.0,7.0,3.0,5.0,6.0,3.0,3.0,3.0,3.0,4.0,3.0,3
129,2.0,2.0,2,3.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,1.0,3.0,5.0,6.0,6.0,6.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,3
130,2.0,1.0,2,3.0,1.0,7.0,6.0,6.0,5.0,2.0,7.0,6.0,6.0,7.0,7.0,5.0,7.0,6.0,7.0,6.0,1.0,1.0,5.0,7.0,7.0,3.0,6.0,5.0,6.0,7.0,6.0,2.0,2.0,7.0,6.0,6
131,2.0,1.0,2,3.0,2.0,4.0,1.0,6.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,5.0,4.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,4
132,2.0,2.0,2,3.0,2.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,1
133,2.0,2.0,2,2.0,1.0,7.0,4.0,4.0,7.0,7.0,4.0,3.0,3.0,4.0,4.0,7.0,7.0,5.0,7.0,7.0,4.0,4.0,4.0,6.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,2
134,1.0,1.0,2,3.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,6.0,5.0,7.0,6.0,6.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,6.0,5.0,5.0,2.0,3.0,3
135,2.0,1.0,2,1.0,2.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7
136,1.0,1.0,1,1.0,2.0,1.0,1.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,6.0,5.0,3.0,4
137,2.0,2.0,2,1.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,6
138,3.0,2.0,2,3.0,2.0,4.0,1.0,4.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,7.0,7.0,7
139,3.0,2.0,2,2.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7
140,2.0,1.0,2,1.0,2.0,7.0,6.0,7.0,7.0,7.0,6.0,5.0,7.0,6.0,7.0,6.0,3.0,6.0,7.0,7.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,3.0,2.0,3.0,6.0,5.0,6.0,2.0,2
141,1.0,1.0,1,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0,7.0,7.0,5.0,6.0,5.0,6.0,4.0,7.0,4.0,5.0,5.0,6.0,7.0,5.0,4.0,5.0,5.0,5.0,4.0,5
142,2.0,1.0,2,3.0,1.0,7.0,5.0,5.0,4.0,5.0,4.0,5.0,7.0,7.0,6.0,5.0,7.0,5.0,5.0,7.0,3.0,5.0,3.0,7.0,4.0,7.0,7.0,5.0,1.0,6.0,2.0,3.0,5.0,4.0,3.0,6
143,1.0,2.0,1,2.0,2.0,5.0,6.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,5.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0,4
144,1.0,2.0,1,1.0,2.0,4.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4
145,2.0,1.0,2,2.0,2.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,4.0,4.0,4.0,5.0,7.0,4.0,7.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,6.0,4.0,2
146,3.0,1.0,2,1.0,1.0,1.0,7.0,1.0,7.0,1.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,4.0,4.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,6
147,2.0,1.0,1,2.0,1.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,3.0,3
148,1.0,2.0,1,3.0,2.0,7.0,5.0,5.0,7.0,2.0,4.0,4.0,3.0,5.0,3.0,2.0,7.0,7.0,7.0,7.0,1.0,7.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,6.0,4.0,3.0,2.0,6.0,1.0,3
149,2.0,1.0,2,1.0,2.0,6.0,5.0,5.0,7.0,7.0,5.0,7.0,7.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,5.0,7.0,6.0,5.0,6.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,3
150,1.0,2.0,1,3.0,2.0,4.0,4.0,3.0,4.0,5.0,5.0,6.0,5.0,6.0,7.0,5.0,5.0,4.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,4.0,6.0,5.0,2
151,2.0,2.0,2,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,6
152,2.0,2.0,2,1.0,1.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,2.0,6.0,4.0,4.0,6.0,2.0,6.0,1.0,5.0,5.0,3.0,5.0,3.0,6
153,3.0,1.0,2,2.0,2.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,4.0,5.0,4.0,7.0,7.0,7.0,7.0,7.0,4.0,5.0,6.0,4.0,5.0,5.0,4.0,6.0,2.0,3.0,5.0,4.0,4.0,5.0,1.0,1
154,2.0,1.0,1,1.0,2.0,4.0,3.0,3.0,3.0,3.0,6.0,5.0,6.0,6.0,6.0,4.0,4.0,4.0,3.0,5.0,5.0,6.0,6.0,6.0,7.0,5.0,6.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,2
155,2.0,2.0,2,2.0,1.0,7.0,6.0,6.0,7.0,6.0,5.0,5.0,6.0,5.0,4.0,7.0,5.0,6.0,5.0,6.0,2.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,5.0,3.0,5.0,6.0,3.0,3
156,1.0,2.0,1,2.0,2.0,5.0,6.0,6.0,6.0,7.0,4.0,5.0,3.0,3.0,6.0,6.0,6.0,6.0,5.0,6.0,3.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,4
157,1.0,1.0,1,3.0,2.0,6.0,6.0,6.0,6.0,7.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,5.0,7.0,6.0,7.0,6.0,6.0,5.0,6.0,5.0,5.0,5
158,1.0,1.0,1,2.0,1.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,3.0,3.0,4.0,6.0,5.0,6.0,5.0,4.0,5.0,3.0,4.0,4.0,6.0,4.0,4
159,2.0,1.0,2,3.0,2.0,6.0,5.0,7.0,6.0,6.0,4.0,5.0,5.0,6.0,5.0,6.0,7.0,7.0,6.0,6.0,2.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,7.0,7.0,5
160,3.0,2.0,2,2.0,2.0,7.0,7.0,7.0,7.0,7.0,3.0,4.0,4.0,3.0,3.0,4.0,7.0,6.0,7.0,7.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,6.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5
161,1.0,2.0,2,1.0,2.0,4.0,2.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,6.0,4.0,3
162,1.0,1.0,1,2.0,1.0,7.0,6.0,7.0,7.0,7.0,5.0,6.0,5.0,4.0,4.0,6.0,7.0,5.0,7.0,7.0,5.0,5.0,3.0,7.0,5.0,7.0,5.0,7.0,5.0,5.0,6.0,5.0,6.0,5.0,2.0,3
